time,open,high,low,close,tick_volume
2024-06-03 15:45:00,1.0888,1.08899,1.0886,1.0889,484
2024-06-03 16:00:00,1.0889,1.08898,1.08856,1.08858,523
2024-06-03 16:15:00,1.08859,1.08873,1.08827,1.08835,552
2024-06-03 16:30:00,1.08835,1.08866,1.0881,1.08849,488
2024-06-03 16:45:00,1.08847,1.08869,1.08841,1.08846,414
2024-06-03 17:00:00,1.08844,1.08858,1.0881,1.08829,494
2024-06-03 17:15:00,1.0883,1.08879,1.08819,1.08874,413
2024-06-03 17:30:00,1.08875,1.08882,1.08865,1.08877,295
2024-06-03 17:45:00,1.08877,1.08881,1.08849,1.08872,380
2024-06-03 18:00:00,1.08873,1.0888,1.0886,1.08871,329
2024-06-03 18:15:00,1.08872,1.08928,1.08871,1.08921,398
2024-06-03 18:30:00,1.08921,1.08956,1.08919,1.08936,383
2024-06-03 18:45:00,1.08935,1.08973,1.08935,1.08967,365
2024-06-03 19:00:00,1.08967,1.08984,1.08955,1.08976,349
2024-06-03 19:15:00,1.08977,1.08991,1.08963,1.08965,238
2024-06-03 19:30:00,1.08965,1.08981,1.08954,1.08979,306
2024-06-03 19:45:00,1.08979,1.08996,1.08976,1.08992,255
2024-06-03 20:00:00,1.08995,1.08996,1.0899,1.0899,107
2024-06-03 20:15:00,1.0899,1.09008,1.08989,1.09001,131
2024-06-03 20:30:00,1.09,1.09013,1.08999,1.09011,127
2024-06-03 20:45:00,1.09011,1.09038,1.09008,1.09034,236
2024-06-03 21:00:00,1.09027,1.0903100000000001,1.08997,1.09008,171
2024-06-03 21:15:00,1.09011,1.09021,1.08992,1.09009,187
2024-06-03 21:30:00,1.0901399999999999,1.09017,1.08981,1.09,228
2024-06-03 21:45:00,1.09002,1.09025,1.08996,1.09022,116
2024-06-03 22:00:00,1.09025,1.0909,1.09024,1.09089,139
2024-06-03 22:15:00,1.09089,1.09091,1.09067,1.09073,154
2024-06-03 22:30:00,1.0907499999999999,1.0908,1.09061,1.09065,108
2024-06-03 22:45:00,1.09065,1.09071,1.09062,1.09065,64
2024-06-03 23:00:00,1.09066,1.09081,1.09062,1.0907499999999999,112
2024-06-03 23:15:00,1.09074,1.09086,1.0907,1.09078,108
2024-06-03 23:30:00,1.09078,1.09079,1.09061,1.09064,114
2024-06-03 23:45:00,1.09065,1.0907,1.09057,1.09066,159
2024-06-04 00:00:00,1.09066,1.09146,1.09066,1.09124,435
2024-06-04 00:15:00,1.09123,1.0913599999999999,1.09108,1.09125,285
2024-06-04 00:30:00,1.09127,1.0915300000000001,1.09124,1.09147,193
2024-06-04 00:45:00,1.09147,1.09154,1.09119,1.09125,311
2024-06-04 01:00:00,1.09123,1.09133,1.09091,1.09099,332
2024-06-04 01:15:00,1.091,1.09113,1.09098,1.0911,247
2024-06-04 01:30:00,1.0911,1.09119,1.09066,1.09089,310
2024-06-04 01:45:00,1.09088,1.0909200000000001,1.09064,1.09073,269
2024-06-04 02:00:00,1.09073,1.09083,1.09062,1.09067,238
2024-06-04 02:15:00,1.09067,1.0908,1.09049,1.09061,243
2024-06-04 02:30:00,1.09061,1.09066,1.09048,1.09065,209
2024-06-04 02:45:00,1.09065,1.09077,1.09059,1.09073,128
2024-06-04 03:00:00,1.09073,1.09083,1.09062,1.09076,205
2024-06-04 03:15:00,1.0907499999999999,1.09086,1.09064,1.0908,176
2024-06-04 03:30:00,1.0908,1.09096,1.09079,1.09089,163
2024-06-04 03:45:00,1.09089,1.09089,1.09065,1.09069,137
2024-06-04 04:00:00,1.09069,1.09094,1.09062,1.09085,140
2024-06-04 04:15:00,1.09085,1.09093,1.09083,1.09091,145
2024-06-04 04:30:00,1.09091,1.09093,1.09072,1.09072,148
2024-06-04 04:45:00,1.09071,1.09095,1.09061,1.09087,166
2024-06-04 05:00:00,1.09087,1.09106,1.09076,1.09097,163
2024-06-04 05:15:00,1.09097,1.09097,1.09067,1.09067,188
2024-06-04 05:30:00,1.09067,1.09072,1.09039,1.09046,262
2024-06-04 05:45:00,1.09047,1.09049,1.09023,1.09026,328
2024-06-04 06:00:00,1.09026,1.09048,1.08995,1.0901399999999999,515
2024-06-04 06:15:00,1.09013,1.0903,1.08989,1.08991,396
2024-06-04 06:30:00,1.0899,1.0902,1.08966,1.08973,535
2024-06-04 06:45:00,1.08976,1.09002,1.08959,1.08967,438
2024-06-04 07:00:00,1.08966,1.08982,1.0892,1.08925,717
2024-06-04 07:15:00,1.08928,1.0895299999999999,1.08856,1.08901,634
2024-06-04 07:30:00,1.08901,1.08906,1.08844,1.0886,558
2024-06-04 07:45:00,1.08859,1.08925,1.08856,1.08897,504
2024-06-04 08:00:00,1.08897,1.08898,1.08842,1.08874,717
2024-06-04 08:15:00,1.08874,1.08904,1.08779,1.08783,603
2024-06-04 08:30:00,1.08783,1.0881,1.0873599999999999,1.08775,606
2024-06-04 08:45:00,1.08773,1.08811,1.08761,1.08804,568
2024-06-04 09:00:00,1.08804,1.08817,1.0869,1.08711,702
2024-06-04 09:15:00,1.08708,1.08766,1.08707,1.08738,697
2024-06-04 09:30:00,1.08739,1.08796,1.08738,1.08778,546
2024-06-04 09:45:00,1.08777,1.08786,1.08709,1.08714,533
2024-06-04 10:00:00,1.08714,1.08714,1.0865,1.08663,606
2024-06-04 10:15:00,1.08663,1.08691,1.08646,1.08648,537
2024-06-04 10:30:00,1.08648,1.08677,1.0864,1.08663,582
2024-06-04 10:45:00,1.08663,1.087,1.08625,1.08661,622
